Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,VAT Fistula Measure Score Applied,Kt/V Comprehensive Achievement Measure Rate,ICH CAHPS Neph Comm and Caring Measure Score Applied,ICH CAHPS Quality of Dialysis Care and Ops Achievement Rate,ICH CAHPS Quality of Dialysis Care and Ops Improvement Rate,ICH CAHPS Quality of Dialysis Care and Ops Measure Score Applied,ICH CAHPS Providing Info to Patients Achievement Rate,ICH CAHPS Providing Info to Patients Improvement Rate,ICH CAHPS Providing Info to Patients Measure Score Applied,ICH CAHPS Overall Rating of Neph Achievement Rate,ICH CAHPS Overall Rating of Neph Improvement Rate,ICH CAHPS Overall Rating of Neph Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Staff Achievement Rate,ICH CAHPS Overall Rating of Dialysis Staff Improvement Rate,ICH CAHPS Overall Rating of Dialysis Staff Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Facility Achievement Rate,ICH CAHPS Overall Rating of Dialysis Facility Improvement Rate,ICH CAHPS Overall Rating of Dialysis Facility Measure Score Applied,Serum Phosphorus Measure Score,Serum Phosphorus Reason for No Score (See Footnotes File),National Average Serum Phosphorus Measure Score,Anemia Management Measure Score,Anemia Management Reason for No Score (See Footnotes File),National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Measure Ratio,Number of Index Discharges in SRR Achievement Period,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,National Average SRR Measure Score,National Average SHR Measure Score,Total Performance Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
FMC LANGDALE,12513,-,8 MEDICAL PARK ,VALLEY,AL,36854,8,10,1.44%,Achievement,97.66%,Achievement,58.76%,56.45%,Achievement,82.61%,83.65%,Achievement,58.89%,50.09%,Achievement,69.18%,59.86%,Achievement,72.54%,67.47%,Achievement,9,-,9,10,-,10,10,-,0.556,45,5,8.994,0.409,1,2.445,Achievement,5,5,75,No Reduction,12-02-1981,FRESENIUS MEDICAL CARE,10-10-2009
FMC OPELIKA,12515,-,2609 VILLAGE PROFESSIONAL DR STE 2,OPELIKA,AL,36801,8,10,2.79%,Achievement,97.96%,Achievement,59.92%,54.06%,Achievement,80.96%,76.20%,Achievement,71.88%,68.31%,Achievement,56.22%,49.37%,Achievement,68.02%,61.50%,Achievement,10,-,9,10,-,10,8,-,0.76,68,11,14.477,0.712,6,8.431,Achievement,5,5,82,No Reduction,07-09-1982,FRESENIUS MEDICAL CARE,24-05-2016
DSI SOUTH DIALYSIS,12516,-,3201 3RD AVE SOUTH ,BIRMINGHAM,AL,35222,8,9,3.72%,Achievement,94.56%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,6,-,0.894,38,9,9.777,0.845,9,10.655,Achievement,5,5,62,No Reduction,02-12-1982,DIVERSIFIED SPECIALTY INSTITUTES (DSI),19-07-2015
DVA HEALTHCARE RENAL CARE INC,12517,-,15953 ATHENS LIMESTONE DRIVE ,ATHENS,AL,35613,8,9,4.22%,Achievement,97.52%,Achievement,60.93%,50.86%,Achievement,82.49%,81.09%,Achievement,68.18%,59.39%,Achievement,66.39%,56.08%,Achievement,66.26%,65.78%,Achievement,9,-,9,10,-,10,2,-,1.14,98,25,21.935,1.149,29,25.248,Achievement,5,5,53,0.50%,21-01-1983,DAVITA,06-03-2012
FMC SCOTTSBORO,12519,-,20998 JOHN T. REID HWY ,SCOTTSBORO,AL,35768,8,7,7.68%,Achievement,97.76%,Achievement,65.04%,67.57%,Achievement,80.17%,77.81%,Achievement,75.77%,75.68%,Achievement,64.77%,71.16%,Achievement,70.48%,77.15%,Achievement,10,-,9,10,-,10,0,-,1.401,73,26,18.554,1.019,13,12.76,Achievement,5,5,64,No Reduction,05-11-1984,FRESENIUS MEDICAL CARE,26-09-2013
FMC TROY,12520,-,606 BOTTS AVE ,TROY,AL,36081,8,5,9.41%,Improvement,97.05%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,0,-,1.51,39,15,9.51,0.665,4,6.011,Achievement,5,5,63,No Reduction,19-11-1984,FRESENIUS MEDICAL CARE,06-03-2012
DCI DOTHAN,12521,-,1630 COLUMBIA HWY ,DOTHAN,AL,36303,8,9,3.23%,Achievement,92.27%,Achievement,70.92%,66.30%,Achievement,88.77%,91.85%,Achievement,72.02%,68.91%,Achievement,66.21%,58.85%,Achievement,67.22%,72.90%,Achievement,10,-,9,10,-,10,9,-,0.679,154,28,41.222,1.225,58,47.346,Achievement,5,5,65,No Reduction,11-03-1985,"DIALYSIS CLINIC, INC.",07-03-2012
FMC HUNTSVILLE,12522,-,2325 PANSY STREET SUITE C,HUNTSVILLE,AL,35801,8,6,8.55%,Achievement,96.62%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,2,-,1.141,78,22,19.278,1.082,17,15.705,Achievement,5,5,57,0.50%,13-12-1986,FRESENIUS MEDICAL CARE,14-09-2015
PHENIX CITY DIALYSIS,12523,-,4391 RIVERCHASE DRIVE ,PHENIX CITY,AL,36867,8,10,2.53%,Achievement,94.47%,Achievement,57.57%,54.08%,Achievement,73.98%,74.75%,Achievement,64.26%,57.61%,Achievement,44.56%,37.98%,Improvement,45.85%,44.86%,Achievement,10,-,9,10,-,10,3,-,1.116,79,22,19.721,0.813,21,25.815,Achievement,5,5,64,No Reduction,23-09-1985,DAVITA,02-05-2014
FMC EAST MOBILE,12524,-,1217 GOVERNMENT ST ,MOBILE,AL,36604,8,8,5.50%,Achievement,89.76%,Achievement,53.75%,56.04%,Achievement,78.43%,71.89%,Achievement,39.20%,55.97%,Achievement,53.63%,54.75%,Achievement,62.25%,65.81%,Achievement,10,-,9,10,-,10,1,-,1.24,159,45,36.295,0.913,31,33.941,Achievement,5,5,36,1.50%,01-12-1985,FRESENIUS MEDICAL CARE,03-05-2016
FMC WEST MOBILE,12525,-,6601 WALL STREET SUITE A,MOBILE,AL,36695,8,7,7.27%,Achievement,96.76%,N/A,No Rate,49.25%,N/A,No Rate,71.86%,N/A,No Rate,58.99%,N/A,No Rate,50.73%,N/A,No Rate,54.06%,N/A,9,-,9,10,-,10,10,-,0.577,75,11,19.069,0.773,14,18.118,Achievement,5,5,69,No Reduction,02-12-1985,FRESENIUS MEDICAL CARE,06-03-2012
RCG PRINCETON,12526,-,708 COTTON AVE SW ,BIRMINGHAM,AL,35211,8,8,5.40%,Achievement,94.37%,Achievement,45.92%,64.44%,Achievement,64.12%,70.74%,Achievement,35.37%,51.54%,Achievement,41.20%,62.30%,Achievement,46.25%,61.39%,Achievement,6,-,9,10,-,10,3,-,1.142,111,37,32.408,1.431,41,28.646,Improvement,5,5,41,1.00%,18-09-1985,FRESENIUS MEDICAL CARE,06-03-2012
DCI ENTERPRISE,12527,-,3861 SALEM ROAD ,ENTERPRISE,AL,36330,8,7,6.37%,Achievement,96.97%,Achievement,68.30%,No Rate,Achievement,85.29%,No Rate,Achievement,75.40%,No Rate,Achievement,76.29%,No Rate,Achievement,80.75%,No Rate,Achievement,10,-,9,10,-,10,3,-,1.1,61,17,15.459,0.53,8,15.084,Achievement,5,5,68,No Reduction,04-07-1986,"DIALYSIS CLINIC, INC.",02-04-2009
FMC CAHABA VALLEY,12528,-,120 CAHABA VALLEY PARKWAY SUITE 150,PELHAM,AL,35124,8,10,2.97%,Achievement,97.75%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,3,-,1.073,39,11,9.943,0.22,2,9.103,Achievement,5,5,78,No Reduction,17-09-1986,FRESENIUS MEDICAL CARE,17-09-2004
FLORENCE DIALYSIS,12529,-,422 EAST DR. HICKS BLVD ,FLORENCE,AL,35630,8,9,4.15%,Achievement,95.93%,Improvement,58.98%,58.04%,Achievement,86.26%,77.99%,Achievement,42.41%,50.85%,Achievement,59.90%,60.05%,Achievement,65.52%,60.29%,Achievement,10,-,9,10,-,10,6,-,0.897,147,32,35.66,0.674,26,38.594,Achievement,5,5,62,No Reduction,16-09-1986,DAVITA,06-03-2012
RAI EAST 11TH ST ANNISTON,12530,-,522 EAST 11TH STREET 1ST FLOOR,ANNISTON,AL,36207,8,8,5.86%,Achievement,96.59%,N/A,No Rate,65.27%,N/A,No Rate,64.91%,N/A,No Rate,68.67%,N/A,No Rate,59.70%,N/A,No Rate,68.59%,N/A,10,-,9,10,-,10,8,-,0.731,73,14,19.154,1.074,23,21.407,Achievement,5,5,64,No Reduction,07-01-1987,NOT A CHAIN,06-03-2012
FMC JACKSON (TOMBIGBEE),12531,-,215 WALKER SPRINGS RD ,JACKSON,AL,36545,8,6,8.17%,Achievement,96.97%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,8,-,0.73,61,10,13.703,0.341,5,14.654,Achievement,5,5,69,No Reduction,29-01-1987,FRESENIUS MEDICAL CARE,11-08-2017
DCI EUFAULA,12532,-,123 A EAST BARBOUR STREET ,EUFAULA,AL,36027,8,10,0.85%,Achievement,98.45%,Achievement,74.90%,No Rate,Achievement,89.26%,No Rate,Achievement,66.85%,No Rate,Achievement,68.98%,No Rate,Achievement,77.11%,No Rate,Achievement,10,-,9,10,-,10,6,-,0.908,32,7,7.064,0.732,7,9.565,Achievement,5,5,88,No Reduction,25-11-1987,"DIALYSIS CLINIC, INC.",28-03-2014
WALKER COUNTY DIALYSIS,12533,-,260 6TH AVENUE NORTHWEST ,JASPER,AL,35504,8,6,9.32%,Achievement,96.45%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,2,-,1.136,59,19,16.73,0.882,11,12.467,Achievement,5,5,44,1.00%,29-12-1987,DAVITA,15-05-2012
BESSEMER KIDNEY CENTER,12534,-,975 9TH AVE SW SUITE 500,BESSEMER,AL,35022,8,5,10.28%,Improvement,98.98%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,6,-,0.871,73,16,18.368,0.968,26,26.864,Achievement,5,5,69,No Reduction,22-03-1988,FRESENIUS MEDICAL CARE,29-10-2008
PCD PRATTVILLE,12535,-,600 MCQUEEN SMITH ROAD SOUTH ,PRATTVILLE,AL,36066,8,6,8.33%,Achievement,98.44%,Achievement,65.18%,65.44%,Achievement,84.68%,85.44%,Achievement,45.23%,57.28%,Achievement,63.10%,67.58%,Achievement,71.71%,68.10%,Achievement,10,-,9,10,-,10,3,-,1.163,95,30,25.802,1.435,38,26.489,Improvement,5,5,52,0.50%,26-01-1990,DAVITA,06-03-2012
FMC MONTCLAIR,12536,-,7780 LUDINGTON LANE ,BIRMINGHAM,AL,35210,8,10,2.64%,Achievement,97.94%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,6,-,0.902,52,11,12.199,1.011,13,12.857,Achievement,5,5,75,No Reduction,12-09-1990,FRESENIUS MEDICAL CARE,17-09-2004
FMC PRICHARD,12537,-,4016 HWY 45 ,WHISTLER,AL,36613,8,10,0.80%,Achievement,95.36%,Achievement,59.41%,46.47%,Improvement,84.72%,74.44%,Achievement,60.78%,56.26%,Achievement,55.16%,45.16%,Improvement,52.54%,46.87%,Achievement,10,-,9,10,-,10,6,-,0.901,105,21,23.299,0.912,22,24.112,Achievement,5,5,61,No Reduction,23-04-1990,FRESENIUS MEDICAL CARE,06-03-2012
RCG ANDALUSIA,12538,-,1208 WEST BYPASS ,ANDALUSIA,AL,36420,8,6,7.92%,Achievement,98.11%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,4,-,0.991,110,28,28.252,0.154,1,6.513,Achievement,5,5,53,0.50%,26-06-1991,FRESENIUS MEDICAL CARE,09-01-2014
FMC MONROEVILLE (WHETSTONE),12540,-,676 S ALABAMA AVE ,MONROEVILLE,AL,36460,8,7,7.48%,Achievement,98.04%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,1,-,1.256,57,16,12.739,0.759,8,10.533,Achievement,5,5,67,No Reduction,18-09-1991,FRESENIUS MEDICAL CARE,10-08-2011
FMC DADEVILLE,12541,-,52 WATERWORKS RD ,DADEVILLE,AL,36853,8,9,3.73%,Achievement,97.22%,N/A,No Rate,71.18%,N/A,No Rate,85.90%,N/A,No Rate,70.04%,N/A,No Rate,85.85%,N/A,No Rate,85.73%,N/A,10,-,9,10,-,10,10,-,0.489,29,3,6.137,1.349,11,8.156,Achievement,5,5,84,No Reduction,11-03-1992,FRESENIUS MEDICAL CARE,11-07-2000
RAINBOW CITY DIALYSIS,12542,-,2800 RAINBOW DRIVE ,RAINBOW CITY,AL,35906,8,10,0.33%,Achievement,97.93%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,6,-,0.911,69,17,18.654,0.785,21,26.735,Achievement,5,5,69,No Reduction,05-05-1992,GAMBRO HEALTHCARE,02-01-1980
DEMOPOLIS DIALYSIS,12543,-,511 S CEDAR AVE ,DEMOPOLIS,AL,36732,8,7,6.40%,Improvement,97.48%,Achievement,72.10%,62.45%,Achievement,83.49%,80.38%,Achievement,56.28%,66.30%,Achievement,69.84%,60.74%,Achievement,69.47%,63.76%,Achievement,10,-,9,10,-,10,5,-,0.935,62,14,14.966,0.911,14,15.361,Achievement,5,5,67,No Reduction,20-05-1992,DAVITA,28-08-2016
OZARK DIALYSIS,12544,-,195 BUNTING DRIVE ,OZARK,AL,36360,8,10,1.25%,Achievement,94.66%,N/A,No Rate,69.88%,N/A,No Rate,80.28%,N/A,No Rate,80.50%,N/A,No Rate,72.49%,N/A,No Rate,68.93%,N/A,9,-,9,10,-,10,10,-,0.5,52,7,14.01,0.719,10,13.915,Achievement,5,5,70,No Reduction,04-08-1992,DAVITA,19-08-2016
TUSCALOOSA DIALYSIS,12545,-,805 OLD MILL STREET ,TUSCALOOSA,AL,35401,8,4,11.01%,Achievement,95.24%,Achievement,49.47%,50.92%,Achievement,67.90%,67.62%,Achievement,64.31%,58.09%,Achievement,46.57%,37.23%,Improvement,53.40%,48.80%,Achievement,10,-,9,10,-,10,3,-,1.11,144,45,40.55,1.417,52,36.706,Achievement,5,5,37,1.50%,11-08-1992,DAVITA,02-08-2009
FMC TUSKEGEE,12546,-,802 E. MARTIN LUTHER KING HWY ,TUSKEGEE,AL,36083,8,10,2.30%,Achievement,97.23%,Achievement,48.71%,53.69%,Achievement,70.65%,81.93%,Achievement,52.93%,46.53%,Achievement,55.72%,51.73%,Achievement,64.74%,57.59%,Achievement,10,-,9,10,-,10,4,-,0.995,33,7,6.415,0.505,2,3.957,Achievement,5,5,73,No Reduction,18-05-1993,FRESENIUS MEDICAL CARE,03-02-2016
FMC EASTERN SHORE,12547,-,124 PROFESSIONAL PARK DR ,FAIRHOPE,AL,36532,8,10,0.93%,Achievement,97.99%,Achievement,56.12%,56.27%,Achievement,82.02%,84.88%,Achievement,65.22%,61.40%,Achievement,56.29%,52.12%,Achievement,64.87%,55.21%,Achievement,10,-,9,10,-,10,6,-,0.859,76,15,17.472,0.479,6,12.515,Achievement,5,5,72,No Reduction,01-08-1993,FRESENIUS MEDICAL CARE,08-02-2011
FAYETTE DIALYSIS,12548,-,2450 TEMPLE AVE N ,FAYETTE,AL,35555,8,5,9.72%,Achievement,97.78%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,6,-,0.861,68,17,19.742,1.062,19,17.891,Achievement,5,5,66,No Reduction,12-11-1993,DAVITA,23-04-2010
BIO-MEDICAL APPLICATIONS OF ALABAMA INC.,12549,-,1205 BELLEVILLE AVE. ,BREWTON,AL,36426,8,3,17.00%,Achievement,97.58%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,6,-,0.849,21,7,6.634,0.62,5,8.07,Achievement,5,5,50,0.50%,17-03-1994,FRESENIUS MEDICAL CARE,01-05-2013
GREENE COUNTY DIALYSIS,12550,-,544 HIGHWAY 43 ,EUTAW,AL,35462,8,8,5.03%,Achievement,99.43%,Achievement,59.43%,56.54%,Achievement,75.00%,72.04%,Achievement,58.68%,60.64%,Achievement,51.04%,56.21%,Achievement,57.54%,69.25%,Achievement,10,-,9,10,-,10,5,-,0.923,64,14,15.161,1.211,13,10.738,Achievement,5,5,58,0.50%,30-06-1994,DAVITA,28-03-2017
SHEFFIELD DIALYSIS,12551,-,1120 S JACKSON HWY STE 107 ,SHEFFIELD,AL,35660,8,10,2.56%,Achievement,98.23%,Achievement,64.00%,65.05%,Achievement,85.73%,84.85%,Achievement,46.77%,58.70%,Achievement,70.71%,73.70%,Achievement,75.80%,82.30%,Achievement,10,-,9,10,-,10,6,-,0.907,74,19,20.95,0.671,9,13.41,Achievement,5,5,67,No Reduction,01-01-1995,DAVITA,24-10-2009
BIO-MEDICAL APPLICATIONS OF ALABAMA INC,12552,-,65 NORTH CATHERINE STREET ,MOBILE,AL,36604,8,7,6.26%,Achievement,98.37%,Achievement,60.63%,60.14%,Achievement,91.40%,85.04%,Achievement,57.00%,47.05%,Achievement,71.15%,65.04%,Achievement,67.48%,64.35%,Achievement,10,-,9,10,-,10,5,-,0.983,88,21,21.359,0.392,7,17.845,Achievement,5,5,61,No Reduction,25-07-2013,FRESENIUS MEDICAL CARE,25-07-2013
PCD ELMORE COUNTY,12553,-,125 HOSPITAL DRIVE ,WETUMPKA,AL,36092,8,7,6.98%,Achievement,99.23%,Achievement,60.54%,No Rate,Achievement,84.73%,No Rate,Achievement,33.60%,No Rate,Achievement,57.74%,No Rate,Achievement,56.72%,No Rate,Achievement,9,-,9,10,-,10,5,-,0.972,33,10,9.413,0.155,1,6.467,Achievement,5,5,57,0.50%,30-01-1995,DAVITA,26-02-2011
"NNA OF ALABAMA, INC",12556,-,7067 VETERANS PKWY SUITE 120 ,PELL CITY,AL,35125,8,5,9.64%,Achievement,98.83%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,10,-,0.558,33,6,10.759,0.739,8,10.831,Achievement,5,5,78,No Reduction,01-06-1995,FRESENIUS MEDICAL CARE,20-05-2010
DCI DECATUR,12558,-,1601 6TH AVENUE SOUTH EAST ,DECATUR,AL,35601,8,6,9.05%,Achievement,97.67%,Achievement,64.43%,63.90%,Achievement,84.84%,86.68%,Achievement,66.38%,56.59%,Achievement,62.72%,63.17%,Achievement,67.04%,69.21%,Achievement,10,-,9,10,-,10,7,-,0.794,100,23,28.965,1.118,51,45.628,Achievement,5,5,72,No Reduction,24-05-1995,"DIALYSIS CLINIC, INC.",12-01-2000
FMC UNIVERSITY SOUTH ALABAMA,12559,-,700 CLINIC DRIVE ,MOBILE,AL,36688,8,10,2.81%,Achievement,92.78%,N/A,No Rate,67.37%,N/A,No Rate,88.12%,N/A,No Rate,60.25%,N/A,No Rate,68.22%,N/A,No Rate,66.50%,N/A,8,-,9,10,-,10,6,-,0.913,92,22,24.108,1.133,31,27.365,Achievement,5,5,51,0.50%,14-01-1995,FRESENIUS MEDICAL CARE,04-01-2011
FMC LAKEVIEW,12561,-,"45 MEDICAL PARK DR., STE A ",GUNTERSVILLE,AL,35976,8,4,12.03%,Achievement,99.44%,Achievement,61.52%,57.73%,Achievement,80.79%,80.58%,Achievement,52.44%,52.06%,Achievement,66.74%,58.82%,Achievement,61.25%,50.36%,Achievement,10,-,9,10,-,10,3,-,1.093,51,14,12.809,0.965,18,18.646,Achievement,5,5,61,No Reduction,07-12-1995,FRESENIUS MEDICAL CARE,11-07-2000
DCI PELL CITY,12562,-,62 COGSWELL DRIVE ,PELL CITY,AL,35125,8,10,0.00%,Achievement,97.05%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,10,-,0.428,23,2,4.668,0.635,3,4.727,Achievement,5,5,89,No Reduction,13-12-1995,"DIALYSIS CLINIC, INC.",11-01-2012
